trajectory_id,MMSI,origin_port,destination_port,start_time,end_time,duration_hours,distance_km,avg_speed_kmh,excluded_aberrant_segments,Length,Width,Draft
209270000_2_nov_dec,209270000.0,PORT SULPHUR,PORT SULPHUR,2024-11-13 00:00:00,2024-11-16 23:50:00,95.83333333333333,2.680559469717907,0.027971055336186858,0,229.0,32.0,7.2
209270000_3_nov_dec,209270000.0,PORT SULPHUR,CONVENT,2024-11-18 00:00:00,2024-11-29 01:40:00,265.6666666666667,188.04082414433515,0.7078073681719014,0,229.0,32.0,7.2
209321000.0_5.0_mars_avril_2023,209321000.0,BROWNSVILLE,BROWNSVILLE,2023-04-19 23:10:00,2023-04-20 02:40:00,3.5,0.0011119492662446384,0.000317699790355611,0,145.0,23.0,10.0
209321000.0_6.0_mars_avril_2023,209321000.0,BROWNSVILLE,BROWNSVILLE,2023-04-20 10:10:00,2023-04-20 13:10:00,3.0,0.00818838696689173,0.0027294623222972434,0,145.0,23.0,10.0
209321000_3_juil_aout,209321000.0,BROWNSVILLE,BROWNSVILLE,2024-07-10 00:00:00,2024-07-14 14:00:00,110.0,0.5284738024842554,0.004804307295311412,0,145.0,23.0,10.0
209393000.0_3.0_mars_avril_2023,209393000.0,VERACRUZ,VERACRUZ,2023-03-08 00:10:00,2023-03-08 03:40:00,3.5,0.03552525900524153,0.01015007400149758,0,171.0,27.0,10.4
209393000.0_6.0_mars_avril_2023,209393000.0,VERACRUZ,VERACRUZ,2023-03-11 21:00:00,2023-03-12 08:20:00,11.333333333333334,13.73084572522311,1.2115452110490978,0,171.0,27.0,10.4
209393000.0_7.0_mars_avril_2023,209393000.0,VERACRUZ,VERACRUZ,2023-03-13 00:50:00,2023-03-13 02:20:00,1.5,0.02408750292579592,0.016058335283863946,0,171.0,27.0,10.4
209423000_2_janv_fev_2023,209423000.0,ANDRES (ANDRES LGN TERMINAL),ANDRES (ANDRES LGN TERMINAL),2023-02-11 08:00:00,2023-02-11 15:10:00,7.166666666666667,0.20501448789585805,0.02860667272965461,0,300.0,40.0,10.7
209423000_3_janv_fev_2023,209423000.0,ANDRES (ANDRES LGN TERMINAL),ANDRES (ANDRES LGN TERMINAL),2023-02-12 03:10:00,2023-02-12 16:50:00,13.666666666666666,0.18988205328932553,0.013893808777267723,0,300.0,40.0,10.7
