port_cluster,centroid_lat,centroid_lon,n_stay_points,avg_duration_hours,matched_port_name,distance_to_port_km,is_validated_port
84.0,47.55380999654695,-122.51159618228706,205.0,69.76910569105691,FORT WARD,3.304778223526696,True
132.0,18.42119213788501,-70.01785636736585,200.0,7.46,PUERTO DE HAINA,0.5185815396879022,True
128.0,37.95340403217571,-121.3362471894742,200.0,86.215,STOCKTON,3.2006311828984217,True
285.0,27.93080598072393,-93.96590956453048,199.0,6.773031825795645,,173.5281751216245,False
302.0,48.5831861590936,-125.7387666634955,198.0,21.67929292929293,,43.07031990107923,False
175.0,41.46432137184664,-82.71259694124561,194.0,14.058419243986256,SANDUSKY,1.6281841387727747,True
253.0,28.159789445099417,-89.16575205032859,189.0,15.559964726631392,,115.68939090484037,False
113.0,30.42286277968417,-81.29397546539526,188.0,27.03634751773049,,13.603474692177084,False
407.0,28.19227280904065,-88.52455537901417,183.0,15.655737704918034,,164.76972700495,False
89.0,46.9626200221674,-123.84974996961554,182.0,26.244505494505493,ABERDEEN,3.406650706384823,True
4.0,29.58636135352455,-93.72072124904564,180.0,39.38055555555555,,20.219893575011522,False
174.0,43.48204355025607,-79.6083343774399,180.0,13.455555555555556,CLARKSON,2.106824203536147,True
30.0,25.743712954649556,-79.28955824266873,179.0,6.281191806331471,,89.61228146568881,False
237.0,42.73371443904215,-82.48236460071779,175.0,9.368571428571428,SOMBRA,1.8972385553528128,True
190.0,49.23868637065998,-125.84009433722731,173.0,10.179190751445086,,11.322930310860816,False
244.0,41.35201279637415,-72.08192756695003,170.0,24.99411764705882,NEW LONDON,0.25269466137995655,True
107.0,39.5661051979411,-75.54070892833579,168.0,16.4375,NEW CASTLE,9.59006192626928,True
64.0,29.61217783754706,-93.26265917335192,166.0,61.43574297188756,,58.18331355652176,False
469.0,28.756734801670333,-88.2662668944078,166.0,8.365461847389557,,159.6106950435125,False
358.0,28.183128826597954,-92.83100500231971,165.0,7.14949494949495,,198.06833294241684,False
134.0,29.724374751467227,-93.86590401172,162.0,31.397119341563783,SABINE,0.8602240916118868,True
431.0,28.61289910880769,-92.08932106798837,161.0,10.0703933747412,,136.92651296736227,False
293.0,27.514049445262952,-90.09800817832075,160.0,14.305208333333333,,119.68865573506845,False
117.0,34.63755583511991,-76.65499372370786,159.0,54.20440251572328,BEAUFORT,8.86128823305699,True
334.0,45.914465941066965,-83.22316289696256,158.0,10.7626582278481,COCKBURN,8.2403982182084,True
249.0,45.98016809790867,-84.27334348987043,157.0,11.132696390658174,,30.247643176042928,False
289.0,41.62539282572955,-70.91123111067682,155.0,50.42580645161291,NEW BEDFORD,0.9917884934393235,True
284.0,29.352289986658644,-90.24924618987232,155.0,111.10430107526882,,27.55362517308989,False
95.0,42.41270645985196,-70.72524450118487,153.0,34.64052287581699,,14.105625673348053,False
274.0,45.86345489145007,-84.69696861278983,153.0,5.392156862745098,ST IGNACE,2.1366970841634587,True
49.0,18.420644106931267,-69.3086334501496,151.0,10.68543046357616,SAN PEDRO DE MACORIS,3.3724384347098697,True
131.0,38.48007212724117,-74.5946244363091,151.0,22.612582781456958,,45.60237153390296,False
140.0,30.970782939193807,-81.18316203364405,151.0,29.514348785871967,,36.165285651277,False
328.0,45.298964065570686,-83.41939177553168,149.0,11.058165548098437,,11.360585857393277,False
251.0,30.80194724412226,-81.5175994593299,148.0,64.55067567567568,,14.05883434429246,False
126.0,28.671325954159837,-89.31198795431045,148.0,7.268018018018019,,72.61255324611683,False
181.0,43.01748856283727,-87.89286211745522,148.0,34.597972972972975,MILWAUKEE,1.9245883709953606,True
266.0,29.25532314004785,-89.97152232807754,147.0,24.30952380952381,GRAND ISLE,3.6895792942517214,True
178.0,41.757885051653446,-81.28127846437562,145.0,12.517241379310343,FAIRPORT,1.8343273302606433,True
192.0,44.16345076331399,-76.79871711063319,144.0,16.417824074074073,MILLHAVEN,6.610661283945156,True
135.0,27.87558273502682,-97.21591579165572,143.0,54.16433566433567,PORT INGLESIDE,7.29244829544079,True
61.0,33.77802794002821,-78.12998706166387,135.0,27.09135802469136,,18.63250992267999,False
314.0,17.974264407097976,-66.7545584618936,135.0,8.491358024691358,PLAYA DE GUAYANILLA,4.885752153075896,True
256.0,28.57595030232892,-87.93282754191127,133.0,18.362155388471177,,197.84898542970686,False
133.0,25.081408052118597,-77.33971676067043,133.0,8.026315789473685,NASSAU,1.0575048192702106,True
213.0,18.44588040033509,-93.202999215797,132.0,7.311868686868687,DOS BOCAS TERMINAL,2.00630788639213,True
115.0,30.52963472530648,-88.10766318790218,131.0,50.75063613231552,,17.11217791023355,False
218.0,43.39619002862945,-124.22701699454996,129.0,94.9108527131783,NORTH BEND,0.937410149427498,True
187.0,43.97366220298463,-77.87532733622622,128.0,12.307291666666668,,23.466311749925023,False
51.0,40.13946495112344,-74.75488765710956,128.0,83.79427083333333,TRENTON,6.80519371011616,True
146.0,27.293996965698707,-90.97032381007868,126.0,16.925925925925924,,131.25917262101402,False
153.0,48.41259380367772,-123.42639329741726,124.0,106.16397849462363,ESQUIMALT HARBOR,2.362267317742579,True
137.0,41.293187781056965,-72.90692160979333,124.0,71.13575268817205,NEW HAVEN,6.70520853935839,True
288.0,27.21433772670867,-78.30240167201849,122.0,14.280054644808745,,66.99938810730892,False
196.0,45.05759937137668,-83.39530692251469,121.0,14.630853994490357,ALPENA,1.9573262609547268,True
110.0,30.67810289340554,-81.46409284182377,118.0,37.85734463276837,FERNANDINA BEACH,0.6315156590017111,True
488.0,28.917806200890684,-89.64130795281395,117.0,13.451566951566951,,36.740454895716844,False
